# STN,YYYYMMDD,TG
260,20211012,10.1
260,20211013,10.1
260,20211014,13.7
260,20211015,10.5
260,20211016,10.3
260,20211017,11.3
260,20211018,11.5
260,20211019,16.3
260,20211020,15.6
260,20211021,10.0
260,20211022,8.4
260,20211023,7.3
260,20211024,7.9
